id,first_name,last_name,age,country_name,subscription,watch_time_hours,favourite_genre,last_access
42,NA,,40,NA,NA,0,Romance,NA
43,David,Brown,35,Canada,Premium,0,NA,NA
0,NA,,0,Japan,Basic,145,NA,12-Apr-24
0,Chris,Jones,27,USA,NA,0,Action,30-Mar-24
46,John,Johnson,45,NA,NA,0,Drama,NA
4700,NA,,16,NA,NA,0,NA,13-Apr-24
4800,NA,,40,Australia,Basic,0,NA,19-Oct-24
4900,NA,,0,Australia,NA,420,Sci-Fi,18-Sep-24
0,NA,,0,NA,NA,0,NA,13-Jul-24
51,NA,,53,Germany,Standard,0,Horror,09-Feb-25
5200,NA,,55,Japan,NA,222,Action,28-Dec-24
0,John,Smith,65,Canada,Standard,0,Comedy,21-Feb-25
54,NA,,0,France,Standard,367,NA,NA
5500,NA,,0,USA,Premium,222,Horror,11-Dec-24
56,NA,,0,NA,Premium,222,Sci-Fi,11-Aug-24
0,NA,,27,NA,NA,222,Documentary,01-Dec-24
0,David,Martinez,0,USA,Premium,625,Horror,02-May-24
59,Michael,Martinez,0,NA,NA,222,Drama,29-Sep-24
0,NA,,0,Australia,Premium,0,NA,14-Aug-24
61,Alex,Hernandez,70,Canada,Standard,222,Horror,11-Jul-24
0,James,Hernandez,0,India,Standard,0,NA,NA
0,Katie,Hernandez,68,France,NA,0,Romance,15-Feb-25
0,NA,,55,France,Basic,0,NA,28-Oct-24
0,NA,,28,USA,Premium,331,Comedy,NA
0,NA,,40,France,NA,539,Romance,15-May-24
67,NA,,0,Canada,Premium,347,Romance,25-Jul-24
0,John,Miller,0,Brazil,Basic,772,Action,NA
69,NA,,66,Brazil,NA,0,Sci-Fi,NA
0,NA,,0,Germany,NA,0,Action,11-Nov-24
0,NA,,0,NA,Basic,482,NA,03-Oct-24
7200,David,Garcia,45,Germany,NA,0,Comedy,31-Oct-24
0,Alex,Williams,29,UK,Standard,222,Drama,12-Feb-25
74,Emma,Brown,58,NA,Standard,0,Sci-Fi,08-Dec-24
75,Michael,Davis,0,NA,NA,351,Sci-Fi,NA
0,NA,,0,NA,NA,222,NA,NA
77,Jane,Martinez,46,NA,Basic,452,NA,21-Aug-24
78,NA,,0,NA,Standard,703,NA,06-Jun-24
0,NA,,0,Australia,Premium,0,NA,21-Dec-24
80,James,Williams,75,India,Premium,735,Documentary,NA
81,John,Brown,0,NA,NA,222,Horror,NA
82,NA,,0,France,Premium,443,NA,NA
8300,Jane,Davis,74,Australia,NA,609,Documentary,16-Aug-24
84,Michael,Smith,70,France,Premium,222,NA,19-Jul-24
85,David,Martinez,0,Germany,Basic,452,Action,NA
0,NA,,73,Brazil,NA,222,Documentary,08-Apr-24
0,NA,,76,Japan,Standard,164,NA,11-May-24
0,Emma,Smith,78,NA,NA,0,Comedy,NA
89,Katie,Williams,71,USA,NA,0,Comedy,NA
0,NA,,0,NA,NA,598,Comedy,23-Dec-24
0,NA,,0,Japan,Standard,523,Romance,NA
92,NA,,70,Australia,NA,0,NA,09-Nov-24
0,Sarah,Davis,49,NA,Standard,0,Documentary,NA
94,Michael,Brown,40,Brazil,NA,402,NA,20-Sep-24
95,NA,,33,NA,NA,435,NA,05-Mar-25
96,James,Smith,27,NA,NA,164,Romance,16-May-24
0,Jane,Miller,0,USA,NA,0,Sci-Fi,22-Jul-24
98,James,Jones,0,NA,NA,0,Horror,26-Apr-24
99,NA,,57,Australia,Basic,731,NA,23-Oct-24
100,David,Jones,0,Japan,Basic,122,Romance,04-Jul-24
0,John,Johnson,18,France,Standard,222,NA,NA
102,Emma,Johnson,27,NA,NA,0,NA,08-Mar-25
0,Sarah,Hernandez,0,NA,Standard,225,Action,NA
104,James,Garcia,0,NA,NA,135,NA,NA
0,NA,,0,USA,Basic,0,NA,13-Dec-24
106,Alex,Hernandez,67,Japan,Standard,488,Comedy,28-Jan-25
0,Katie,Jones,77,UK,NA,0,NA,18-Nov-24
108,NA,,0,Canada,Basic,808,NA,04-Sep-24
0,NA,,0,Australia,Standard,222,Comedy,27-Feb-25
110,Sarah,Brown,53,Australia,NA,0,Horror,NA
0,NA,,37,Australia,NA,271,NA,NA
0,NA,,0,NA,NA,229,Comedy,23-Nov-24
113,NA,,34,France,NA,748,NA,12-Aug-24
114,Chris,Miller,0,France,NA,0,Documentary,23-Mar-24
0,John,Johnson,27,Canada,Premium,0,NA,NA
0,NA,,0,NA,NA,0,NA,31-Aug-24
117,Sarah,Jones,27,France,Basic,0,Romance,NA
0,Sarah,Miller,15,NA,NA,222,Drama,NA
0,Jane,Davis,0,NA,NA,251,Horror,17-Oct-24
0,NA,,27,NA,NA,222,Drama,04-Dec-24
121,Sarah,Williams,0,Canada,NA,98,NA,08-Jan-25
122,NA,,44,NA,NA,0,NA,NA
12300,NA,,80,NA,Standard,816,Documentary,07-Sep-24
124,Emma,Miller,0,Brazil,Basic,222,NA,01-Feb-25
125,James,Davis,20,Australia,NA,202,NA,18-Sep-24
126,NA,,68,NA,NA,758,Romance,NA
127,NA,,27,Japan,NA,0,Romance,24-Jul-24
12800,NA,,27,NA,Standard,633,Romance,05-Mar-25
0,John,Miller,0,Germany,Premium,278,NA,NA
0,NA,,77,India,NA,222,Horror,31-Jul-24
131,Sarah,Jones,0,Mexico,Premium,884,Documentary,23-Feb-25
132,NA,,44,NA,NA,0,Sci-Fi,04-Jul-24
133,James,Martinez,36,USA,NA,479,Comedy,10-May-24
13400,NA,,27,NA,Basic,744,NA,NA
13500,NA,,70,NA,NA,0,Documentary,21-Oct-24
0,NA,,78,Canada,Standard,0,Comedy,04-Mar-25
0,NA,,0,Australia,NA,0,Action,10-Feb-25
138,James,Martinez,0,Mexico,Standard,222,Comedy,08-Sep-24
139,Sarah,Williams,38,NA,Standard,80,NA,27-Nov-24
0,NA,,67,Brazil,NA,164,Comedy,30-Oct-24
141,NA,,62,Mexico,Premium,640,NA,NA
0,Jane,Williams,0,USA,NA,793,Romance,25-Aug-24
143,Katie,Williams,54,NA,Standard,0,Action,19-Apr-24
0,Alex,Davis,38,NA,NA,222,NA,11-Jun-24
0,Jane,Miller,80,NA,NA,766,Romance,NA
146,Sarah,Garcia,76,Germany,Basic,0,Action,NA
147,Chris,Brown,14,NA,NA,702,Action,09-Aug-24
148,Emma,Davis,0,NA,Basic,222,NA,NA
149,NA,,32,India,Basic,0,Action,01-Apr-24
0,Emma,Williams,0,NA,Premium,222,Drama,08-Aug-24
151,Katie,Martinez,34,UK,NA,222,NA,18-Oct-24
152,NA,,0,NA,Premium,0,Romance,14-Oct-24
15300,Jane,Miller,0,Brazil,NA,0,NA,11-May-24
0,Chris,Smith,15,Japan,NA,835,Romance,NA
155,NA,,0,NA,Basic,0,NA,NA
156,NA,,76,NA,NA,0,NA,NA
15700,David,Johnson,51,Brazil,Premium,0,Documentary,21-Jun-24
0,Alex,Williams,27,Japan,Premium,269,Documentary,20-Jun-24
159,John,Hernandez,27,UK,NA,222,NA,NA
0,Emma,Smith,0,NA,Basic,457,NA,15-May-24
161,NA,,79,Brazil,NA,222,Comedy,NA
0,James,Jones,0,NA,Basic,222,Documentary,NA
163,NA,,27,NA,NA,0,Sci-Fi,15-Apr-24
164,John,Davis,0,Australia,Basic,0,NA,03-Jun-24
165,NA,,0,NA,Standard,56,NA,23-Aug-24
0,NA,,0,Japan,Basic,0,Comedy,NA
0,John,Smith,54,UK,Basic,0,Horror,23-Feb-25
168,NA,,45,NA,NA,0,NA,04-Oct-24
169,Sarah,Brown,0,USA,NA,0,Documentary,23-Jul-24
170,Jane,Jones,43,Canada,NA,358,NA,NA
0,NA,,27,NA,Premium,222,Action,21-Mar-24
172,Michael,Williams,46,NA,NA,0,NA,NA
173,Alex,Williams,27,NA,NA,737,Action,NA
174,NA,,0,NA,Premium,0,Drama,15-Sep-24
17500,NA,,53,Mexico,NA,741,Action,NA
176,Sarah,Smith,27,UK,Basic,222,Sci-Fi,11-Feb-25
177,NA,,78,Canada,NA,0,NA,NA
178,Emma,Smith,27,India,Premium,466,NA,07-Mar-25
0,NA,,0,France,Basic,866,NA,28-Sep-24
180,Katie,Jones,27,NA,NA,0,NA,NA
0,Alex,Garcia,27,Canada,Premium,0,NA,19-Oct-24
182,Katie,Williams,27,Japan,NA,0,Drama,30-Nov-24
183,John,Williams,0,NA,Premium,0,Romance,NA
184,John,Davis,0,Australia,Premium,260,NA,NA
0,Alex,Jones,78,Australia,NA,0,Drama,NA
0,NA,,27,NA,NA,870,NA,NA
187,John,Davis,27,France,NA,222,Documentary,NA
0,NA,,14,Mexico,NA,0,NA,NA
189,NA,,0,NA,Standard,222,Documentary,NA
0,NA,,30,Germany,Basic,222,Documentary,NA
19100,Alex,Martinez,0,Australia,Standard,222,NA,31-Oct-24
0,NA,,0,NA,Premium,0,Sci-Fi,NA
193,Katie,Johnson,38,India,NA,455,Sci-Fi,NA
0,Chris,Williams,0,Australia,Standard,222,Comedy,09-Jan-25
195,NA,,0,Germany,Standard,0,Horror,11-Jul-24
0,Alex,Garcia,33,NA,Basic,748,Horror,12-Mar-24
197,NA,,27,Australia,NA,0,Action,19-Sep-24
198,Michael,Garcia,0,UK,NA,747,Documentary,08-Feb-25
0,Katie,Brown,27,NA,Basic,0,Romance,02-May-24
20000,NA,,0,Germany,NA,749,Romance,NA
0,NA,,27,Germany,Basic,628,NA,28-Apr-24
202,John,Hernandez,0,USA,Standard,0,Action,NA
20300,NA,,75,UK,Basic,838,Documentary,15-Aug-24
20400,Michael,Williams,48,Brazil,NA,222,Drama,NA
205,NA,,0,Canada,Basic,701,NA,03-Aug-24
206,NA,,40,NA,Standard,444,Drama,18-Feb-25
207,NA,,0,NA,NA,883,Action,24-Oct-24
0,Alex,Brown,23,NA,NA,222,Drama,04-Dec-24
5185,NA,,0,NA,NA,222,NA,16-Nov-24
0,NA,,27,NA,Basic,222,Drama,14-Jun-24
211,Chris,Smith,41,Germany,Basic,800,NA,23-Jul-24
212,Alex,Smith,0,Mexico,Premium,218,Horror,20-Oct-24
5185,Michael,Johnson,0,NA,NA,0,NA,16-Jun-24
0,Sarah,Brown,59,NA,Standard,154,NA,NA
0,James,Brown,40,NA,Standard,0,NA,29-Jan-25
5185,Alex,Hernandez,27,Japan,NA,0,NA,01-Sep-24
5185,John,Davis,38,Canada,Premium,60,NA,NA
0,NA,,0,NA,Basic,31,Romance,NA
0,NA,,27,UK,Standard,0,Drama,07-Dec-24
220,Sarah,Miller,0,Canada,Premium,205,Drama,09-Aug-24
5185,NA,,0,Canada,NA,222,Romance,NA
222,Katie,Davis,27,France,Standard,324,Horror,NA
223,Sarah,Davis,27,Mexico,NA,0,Documentary,06-Jun-24
224,John,Johnson,27,Australia,Standard,484,NA,27-Jun-24
225,NA,,0,NA,Basic,0,Documentary,NA
0,Emma,Brown,0,Brazil,Standard,222,NA,NA
227,John,Williams,29,NA,Premium,462,Documentary,16-Jun-24
0,NA,,0,Canada,Premium,655,NA,NA
0,NA,,0,NA,Premium,222,Sci-Fi,19-Mar-24
230,NA,,50,NA,Basic,222,NA,26-Dec-24
0,Sarah,Miller,0,Canada,NA,857,NA,27-Feb-25
0,NA,,0,NA,Standard,23,NA,NA
233,NA,,0,Japan,Standard,52,Sci-Fi,NA
234,Katie,Smith,45,NA,Basic,0,NA,NA
0,Chris,Davis,27,NA,Basic,54,Horror,18-Apr-24
236,David,Hernandez,0,Mexico,Basic,222,Horror,NA
237,NA,,0,Brazil,Standard,0,NA,06-Jun-24
238,NA,,21,India,NA,222,NA,23-Nov-24
239,James,Garcia,14,NA,Standard,222,NA,04-Jan-25
0,Alex,Smith,0,NA,Standard,0,Drama,01-Feb-25
0,Sarah,Martinez,0,Australia,NA,0,NA,NA
242,NA,,0,NA,Standard,0,NA,14-Jan-25
0,James,Jones,0,Brazil,Basic,675,Action,20-Oct-24
0,Jane,Williams,27,NA,Standard,222,Romance,23-Jun-24
0,Chris,Brown,0,UK,Standard,222,NA,21-Jan-25
0,Sarah,Jones,61,NA,Premium,138,Action,29-Jul-24
0,Michael,Brown,77,UK,Standard,225,Action,19-Mar-24
0,NA,,27,NA,NA,394,NA,03-Apr-24
0,NA,,27,Canada,NA,0,Sci-Fi,28-Jun-24
0,NA,,58,France,NA,491,Romance,04-Nov-24
5185,Sarah,Garcia,0,France,NA,83,NA,NA
252,NA,,31,India,Basic,0,Sci-Fi,20-Feb-25
0,James,Jones,35,Australia,Basic,418,Horror,25-Jun-24
0,Chris,Hernandez,0,Canada,NA,331,Action,06-Mar-25
0,NA,,0,Japan,NA,508,Drama,01-Apr-24
0,Katie,Davis,62,Canada,Premium,0,Documentary,NA
0,NA,,50,NA,Standard,362,Horror,20-Jul-24
258,Jane,Johnson,0,Germany,NA,0,Romance,15-Nov-24
259,NA,,69,NA,Premium,0,Documentary,NA
0,NA,,67,USA,Standard,747,NA,05-Oct-24
0,John,Brown,52,Canada,NA,674,Horror,11-Aug-24
262,Emma,Brown,0,Germany,Standard,222,Documentary,26-Feb-25
263,NA,,0,NA,Premium,222,NA,26-May-24
5185,NA,,0,Mexico,NA,222,Horror,30-Sep-24
265,NA,,55,NA,NA,0,NA,NA
0,John,Miller,65,NA,NA,0,NA,23-Feb-25
5185,James,Jones,63,Japan,Standard,42,Horror,NA
5185,Alex,Davis,50,NA,Premium,220,NA,NA
269,NA,,0,Japan,Premium,756,NA,21-Aug-24
270,NA,,19,NA,Standard,222,Sci-Fi,20-Nov-24
271,Sarah,Johnson,27,India,NA,165,Action,15-Feb-25
272,Sarah,Jones,21,NA,Premium,710,Sci-Fi,NA
5185,NA,,27,Brazil,NA,222,Comedy,05-Aug-24
0,James,Martinez,27,Mexico,Premium,222,Documentary,24-Feb-25
0,NA,,57,Brazil,Premium,0,NA,07-Aug-24
0,Sarah,Davis,75,UK,NA,390,Drama,NA
0,Jane,Williams,0,Germany,NA,0,Documentary,NA
278,NA,,0,UK,Premium,700,NA,NA
279,James,Johnson,0,Australia,Basic,0,Drama,NA
280,Sarah,Johnson,0,USA,NA,0,Documentary,15-Dec-24
0,Michael,Brown,27,UK,Basic,0,Horror,NA
282,James,Martinez,56,USA,Standard,639,Comedy,04-Aug-24
0,James,Martinez,27,NA,Premium,0,Comedy,31-May-24
0,NA,,61,UK,NA,0,NA,NA
285,Sarah,Garcia,45,Australia,Premium,387,Romance,NA
0,David,Garcia,18,Mexico,NA,712,Drama,NA
0,Sarah,Brown,0,NA,Standard,222,NA,NA
5185,John,Jones,45,NA,Standard,222,NA,10-Mar-24
0,Chris,Smith,0,UK,Basic,68,Romance,11-Jan-25
0,NA,,43,France,NA,0,Drama,29-Nov-24
291,NA,,27,NA,Standard,0,NA,01-Jul-24
0,NA,,25,NA,NA,264,Sci-Fi,12-Jul-24
293,Sarah,Martinez,75,NA,Premium,0,NA,NA
0,Katie,Davis,0,Brazil,Basic,496,Documentary,14-Apr-24
0,Jane,Brown,0,USA,Standard,887,Horror,16-Jun-24
0,NA,,0,USA,Premium,747,Comedy,06-Nov-24
297,NA,,24,India,Standard,374,Romance,26-Dec-24
298,NA,,0,Australia,Standard,291,NA,NA
299,NA,,27,Mexico,NA,342,NA,24-Nov-24
0,Jane,Johnson,35,NA,Premium,377,Romance,NA
0,NA,,0,Canada,Standard,500,Action,22-Aug-24
302,Jane,Williams,0,Australia,Basic,0,Drama,20-Feb-25
0,NA,,45,Australia,NA,0,NA,14-Sep-24
304,NA,,0,NA,NA,0,NA,NA
0,NA,,35,India,Basic,793,Comedy,21-Apr-24
306,John,Smith,59,Canada,Premium,0,Sci-Fi,15-Aug-24
307,John,Williams,22,Japan,NA,0,Drama,NA
308,Emma,Davis,0,NA,NA,0,Action,25-Apr-24
0,Alex,Hernandez,0,Canada,Basic,699,NA,NA
5185,James,Hernandez,0,NA,NA,377,Comedy,09-Mar-24
5185,NA,,58,NA,NA,364,NA,NA
312,Sarah,Miller,27,UK,NA,723,Sci-Fi,NA
313,NA,,63,NA,Premium,0,NA,NA
314,John,Jones,0,NA,NA,479,Sci-Fi,12-Jan-25
0,Jane,Hernandez,35,NA,Basic,843,Romance,NA
0,Jane,Miller,17,France,Standard,214,Action,NA
5185,David,Garcia,46,Mexico,NA,780,Drama,28-Jun-24
5185,Jane,Johnson,0,NA,Basic,222,Comedy,10-Aug-24
319,NA,,28,Germany,NA,315,Sci-Fi,28-Mar-24
320,NA,,0,NA,NA,0,Comedy,NA
321,NA,,47,Germany,NA,176,Comedy,NA
322,NA,,17,Brazil,Basic,0,NA,31-May-24
323,Chris,Johnson,0,Australia,Basic,0,NA,NA
0,NA,,58,NA,NA,0,NA,NA
0,Chris,Garcia,27,UK,NA,0,Sci-Fi,16-Feb-25
326,Sarah,Brown,27,NA,NA,0,Romance,22-May-24
327,Chris,Johnson,0,Mexico,NA,381,Comedy,NA
328,Emma,Martinez,0,NA,NA,120,Comedy,NA
329,NA,,0,NA,NA,468,Horror,NA
5185,NA,,0,USA,NA,0,Romance,25-Jan-25
5185,Katie,Davis,27,NA,Basic,0,NA,13-Feb-25
5185,NA,,39,USA,Premium,48,NA,NA
333,NA,,65,NA,Basic,251,Documentary,NA
0,Alex,Miller,27,Japan,Basic,0,Drama,08-Apr-24
0,James,Brown,0,Canada,NA,490,Drama,NA
336,Katie,Hernandez,14,NA,Basic,207,Documentary,22-Jun-24
337,NA,,0,NA,Standard,153,NA,23-Apr-24
338,John,Martinez,0,Mexico,Premium,0,NA,NA
0,NA,,17,Germany,NA,613,NA,NA
340,Jane,Miller,33,Brazil,NA,222,Documentary,03-Nov-24
341,Jane,Johnson,0,NA,NA,0,Sci-Fi,04-Feb-25
342,NA,,0,USA,NA,0,NA,06-Jun-24
343,Jane,Brown,47,Australia,Standard,861,Sci-Fi,10-Oct-24
5185,NA,,53,India,Premium,222,NA,NA
5185,Sarah,Martinez,0,Australia,Basic,222,NA,28-Dec-24
346,NA,,71,NA,Basic,0,Action,NA
347,NA,,34,Mexico,Basic,0,Documentary,28-Apr-24
0,NA,,0,Australia,NA,0,NA,17-Nov-24
349,Alex,Hernandez,0,NA,Basic,597,NA,NA
350,NA,,65,NA,Basic,0,NA,17-Apr-24
0,NA,,61,France,Basic,474,Action,01-Mar-25
352,Emma,Jones,20,NA,NA,0,Action,20-Jan-25
353,NA,,0,Mexico,Basic,0,NA,NA
354,Katie,Smith,0,UK,Standard,0,Drama,04-Jun-24
0,Chris,Smith,35,NA,Premium,0,NA,04-Jun-24
0,Sarah,Garcia,72,NA,NA,0,NA,23-Sep-24
0,John,Hernandez,0,NA,NA,346,NA,NA
358,Alex,Hernandez,0,NA,Premium,119,NA,NA
359,NA,,50,India,Basic,0,Action,NA
5185,NA,,0,Japan,Standard,869,Sci-Fi,NA
0,John,Jones,0,NA,NA,543,Documentary,02-Feb-25
362,NA,,14,Brazil,Premium,320,NA,08-Jan-25
363,NA,,37,India,Premium,222,Documentary,02-May-24
364,NA,,16,NA,NA,0,Romance,NA
0,Michael,Smith,27,Japan,Standard,222,NA,NA
366,Katie,Brown,32,Australia,NA,133,Documentary,18-Mar-24
0,NA,,52,NA,NA,0,NA,NA
368,NA,,0,USA,Basic,222,Documentary,25-Aug-24
5185,Jane,Davis,0,India,NA,706,NA,04-Nov-24
0,Katie,Smith,23,Canada,Standard,0,Sci-Fi,NA
0,Jane,Hernandez,48,Australia,NA,0,NA,NA
372,Jane,Williams,0,NA,Premium,12,NA,13-May-24
373,Alex,Garcia,0,Australia,NA,415,NA,NA
0,NA,,0,NA,NA,26,NA,NA
0,Alex,Brown,41,NA,Basic,0,NA,19-Oct-24
376,NA,,27,NA,Standard,0,Horror,NA
377,NA,,27,Australia,Basic,0,Drama,18-Nov-24
5185,NA,,0,NA,NA,451,Action,24-Sep-24
0,Katie,Martinez,28,India,NA,0,Comedy,14-Feb-25
380,Chris,Garcia,0,NA,Premium,0,Comedy,NA
0,Michael,Smith,62,NA,Basic,696,Documentary,24-Jan-25
0,Chris,Smith,70,NA,NA,0,Comedy,20-Aug-24
383,NA,,25,NA,Premium,222,Romance,01-Nov-24
0,Chris,Garcia,0,Germany,NA,222,Comedy,NA
5185,Alex,Hernandez,74,NA,Premium,222,Romance,NA
0,NA,,0,India,Basic,332,Romance,09-Jul-24
387,Emma,Smith,40,NA,NA,202,NA,24-Sep-24
5185,Alex,Davis,50,France,Standard,0,NA,14-Oct-24
5185,Katie,Brown,57,France,NA,222,Horror,07-Oct-24
0,Sarah,Williams,77,USA,Standard,222,NA,NA
391,NA,,27,Japan,Premium,0,NA,06-Apr-24
0,NA,,43,Japan,Basic,570,NA,25-Jul-24
0,NA,,0,NA,Basic,0,NA,NA
0,Emma,Martinez,23,NA,Standard,335,Documentary,NA
5185,David,Brown,73,NA,Basic,0,NA,08-Nov-24
0,David,Smith,0,NA,Premium,222,Romance,NA
0,NA,,28,NA,NA,463,Drama,14-Jan-25
0,NA,,75,Japan,Premium,6,Sci-Fi,02-Aug-24
0,Chris,Johnson,70,Brazil,Basic,222,Sci-Fi,28-Jul-24
0,Emma,Johnson,29,France,Premium,30,NA,17-Jan-25
401,Chris,Smith,27,NA,Premium,404,Horror,NA
0,NA,,56,Canada,NA,222,Drama,NA
403,Michael,Garcia,45,Canada,Premium,0,NA,NA
0,NA,,0,Australia,NA,214,Horror,21-Jan-25
0,NA,,45,NA,NA,222,Horror,05-Jul-24
406,James,Martinez,0,France,Premium,0,Romance,08-Jan-25
407,Katie,Jones,0,Brazil,NA,222,Documentary,16-Dec-24
408,NA,,37,USA,Premium,0,Horror,30-May-24
409,Chris,Smith,49,NA,NA,601,NA,23-Aug-24
0,Katie,Johnson,0,NA,Premium,317,NA,16-Apr-24
0,David,Jones,56,Canada,NA,410,Action,NA
0,James,Davis,55,Japan,Standard,222,Documentary,NA
0,Emma,Johnson,34,USA,NA,719,NA,14-May-24
0,Jane,Jones,0,Canada,Basic,90,Comedy,10-May-24
0,NA,,35,NA,Premium,154,Sci-Fi,16-Jun-24
5185,Katie,Jones,35,NA,Standard,222,NA,NA
417,NA,,0,Mexico,Standard,222,Romance,20-Mar-24
418,Sarah,Martinez,66,Mexico,Standard,577,Romance,NA
419,Katie,Hernandez,0,Canada,Premium,414,Comedy,03-Mar-25
0,NA,,33,Germany,Basic,368,Comedy,23-Aug-24
0,John,Garcia,42,Canada,Standard,43,Documentary,NA
422,NA,,27,India,NA,100,Romance,24-May-24
423,Sarah,Davis,67,Brazil,NA,0,NA,07-Jun-24
5185,NA,,27,NA,Standard,0,NA,NA
5185,NA,,27,Mexico,Basic,0,Action,NA
0,NA,,62,NA,Basic,0,Romance,NA
0,Jane,Garcia,61,NA,NA,420,Romance,NA
428,Sarah,Johnson,32,Australia,NA,0,Sci-Fi,NA
429,David,Hernandez,40,USA,Premium,456,Documentary,21-Jan-25
0,NA,,61,NA,Basic,0,Comedy,18-Oct-24
0,John,Hernandez,27,Mexico,NA,222,Horror,15-Jun-24
0,Emma,Smith,20,NA,Premium,744,Documentary,18-Jan-25
433,Sarah,Brown,74,NA,NA,97,Action,07-Mar-25
5185,Jane,Johnson,15,Australia,Premium,0,NA,NA
0,NA,,0,USA,Premium,0,Drama,NA
5185,Katie,Davis,0,NA,Premium,0,Sci-Fi,20-Jul-24
0,Katie,Brown,0,Japan,Standard,222,Drama,05-Dec-24
5185,NA,,0,NA,Basic,0,NA,NA
5185,Chris,Miller,0,NA,Standard,735,Documentary,NA
440,Michael,Davis,0,USA,Premium,222,Comedy,30-Mar-24
5185,NA,,27,NA,Premium,0,NA,30-May-24
442,NA,,52,NA,Premium,0,Horror,NA
0,Alex,Williams,58,NA,Premium,0,NA,NA
444,NA,,20,NA,Standard,414,Sci-Fi,NA
0,Alex,Hernandez,0,NA,NA,58,Sci-Fi,07-Nov-24
0,John,Jones,69,Japan,Standard,0,NA,19-Jun-24
0,James,Davis,73,NA,NA,159,Comedy,NA
448,NA,,38,UK,Standard,0,Horror,20-Dec-24
449,NA,,0,NA,Premium,0,Documentary,NA
450,Michael,Miller,68,Brazil,Premium,222,Documentary,NA
0,NA,,70,USA,NA,748,NA,NA
452,Katie,Davis,0,Brazil,Premium,768,Comedy,03-Apr-24
0,Katie,Brown,27,USA,Standard,292,Action,04-Apr-24
0,NA,,46,NA,NA,0,NA,16-Mar-24
455,Chris,Williams,35,Mexico,Standard,680,Sci-Fi,28-Jul-24
0,Michael,Martinez,0,Mexico,Standard,0,Sci-Fi,NA
0,Michael,Hernandez,0,NA,NA,222,NA,06-Nov-24
458,NA,,62,NA,NA,0,Romance,17-Mar-24
0,Emma,Davis,17,Mexico,NA,385,Drama,27-Jun-24
0,NA,,0,Germany,Basic,237,Documentary,29-Oct-24
0,NA,,0,NA,Basic,263,Sci-Fi,13-Apr-24
5185,Emma,Miller,21,Japan,Premium,0,NA,24-Feb-25
463,Chris,Miller,27,NA,Standard,551,NA,15-Mar-24
5185,Jane,Garcia,44,Canada,NA,0,Romance,11-Jan-25
5185,NA,,62,NA,Premium,0,NA,08-Feb-25
0,NA,,27,India,Standard,649,Sci-Fi,NA
0,NA,,18,Japan,Standard,518,NA,20-Mar-24
5185,Chris,Jones,27,Mexico,Standard,72,Documentary,NA
469,NA,,0,Mexico,NA,627,Sci-Fi,NA
5185,Emma,Davis,49,Canada,NA,0,Action,19-Apr-24
